"","UnlistCuerpo","Freq"
"1","%",1
"2","01%",1
"3","02%",1
"4","2018",1
"5","2019",2
"6","25",1
"7","26%",1
"8","28",2
"9","3%",1
"10","30",1
"11","325%",1
"12","61",1
"13","670",1
"14","a",1
"15","acuerdo",1
"16","además",1
"17","al",2
"18","anual",1
"19","año",1
"20","añode",1
"21","apostaron",1
"22","aumentará",1
"23","aumentarán",1
"24","banco",2
"25","base",1
"26","cambio",2
"27","central",1
"28","centralnoticia",1
"29","cerrará",1
"30","chile",1
"31","con",2
"32","consumidor",1
"33","contexto",1
"34","crecimiento",1
"35","cuanto",1
"36","de",10
"37","del",2
"38","días",2
"39","dólar",1
"40","económicas",1
"41","el",8
"42","emisor",1
"43","emitida",1
"44","en",10
"45","encima",1
"46","encuesta",1
"47","enero",2
"48","eof",1
"49","esa",1
"50","ese",1
"51","este",1
"52","estimaron",2
"53","expectativas",1
"54","expertos",1
"55","febreroen",1
"56","fin",1
"57","financieros",2
"58","forma",1
"59","hasta",2
"60","hoy",1
"61","inflación",2
"62","informó",1
"63","junioen",1
"64","la",4
"65","los",5
"66","mantendrá",1
"67","mantiene",1
"68","menor",1
"69","misma",1
"70","monetaria",1
"71","nominal",1
"72","operadores",2
"73","organismo",1
"74","para",2
"75","participaron",1
"76","pesos",1
"77","política",1
"78","por",2
"79","precios",1
"80","prevé",1
"81","previeron",1
"82","promedio",1
"83","proporción",1
"84","próximos",2
"85","proyección",1
"86","publicada",1
"87","puntos",1
"88","que",5
"89","quincenal",1
"90","registrado",1
"91","relacionadaencuesta",1
"92","santiago-",1
"93","se",2
"94","siete",1
"95","situará",1
"96","tasa",3
"97","tipo",1
"98","tpm",1
"99","un",2
"100","una",1
"101","viernes",1
"102","y",5
