"","UnlistCuerpoNoticia","Freq"
"1","",3
"2","27%",1
"3","30%",1
"4","a",9
"5","abiertos",1
"6","abusos",1
"7","acción",1
"8","acciones",1
"9","actual",1
"10","además",1
"11","aduanas",1
"12","agrícola",2
"13","agricultura",1
"14","al",1
"15","antidistorsiones",3
"16","añadió",1
"17","años",1
"18","aplicación",1
"19","aplicar",1
"20","apoyarla",1
"21","arancelarias",1
"22","ariztía",3
"23","aseveró",1
"24","atención",1
"25","atentos",1
"26","autoridades",1
"27","bajas",1
"28","bajo",1
"29","barreras",1
"30","basa",1
"31","bien",1
"32","cadena",1
"33","casos",1
"34","chile",1
"35","cinco",1
"36","comercialmente",1
"37","comercio",1
"38","comisión",3
"39","competitividad",1
"40","con",2
"41","concreto",1
"42","consignar",1
"43","consumidores",1
"44","contexto",2
"45","crítica:",1
"46","cual",2
"47","cualquier",3
"48","cuenta",1
"49","daño",1
"50","de",27
"51","decidió",1
"52","decisión",2
"53","decisiones",1
"54","del",5
"55","demora",1
"56","demostrado",1
"57","depredador",1
"58","descremada",1
"59","desestima",1
"60","después",1
"61","determinación",1
"62","diez",1
"63","dilatar",1
"64","distorsión",1
"65","económica",1
"66","económico",1
"67","el",7
"68","empresarial",1
"69","en",12
"70","entender",1
"71","entera",1
"72","es",2
"73","ese",1
"74","eso",1
"75","esta",1
"76","establece",1
"77","este",1
"78","esté",1
"79","esto",1
"80","excelente",1
"81","exclusivamente",1
"82","explicó",1
"83","favorecer",1
"84","fedeleche",2
"85","federación",1
"86","fiscalía",1
"87","fne",1
"88","formar",1
"89","fundamentada",1
"90","futura",1
"91","goudaestamos",1
"92","gracias",1
"93","gremio",1
"94","ha",3
"95","hay",1
"96","herramientas",1
"97","hizo",1
"98","importación",1
"99","industria",2
"100","instancia",1
"101","internación",1
"102","investigación",1
"103","la",20
"104","láctea",1
"105","lácteacabe",1
"106","lácteo",2
"107","lamentamos",1
"108","lamentó",1
"109","las",4
"110","leche",2
"111","lechería",1
"112","líder",1
"113","liquidarla",1
"114","llamado",1
"115","lo",1
"116","los",3
"117","mantiene",1
"118","marco",1
"119","más",2
"120","mercado",1
"121","meses",1
"122","mucho",1
"123","mundial",1
"124","mundo",1
"125","muy",1
"126","nacional",4
"127","nada",1
"128","nivel",1
"129","no",3
"130","o",1
"131","ocurrido",1
"132","omc",1
"133","organización",1
"134","otro",1
"135","países",1
"136","para",4
"137","parte",1
"138","pertinentes",1
"139","polvo",1
"140","por",3
"141","precio",1
"142","presidente",2
"143","presidida",1
"144","prestar",1
"145","privilegia",1
"146","productivo",1
"147","producto",1
"148","productores",2
"149","pronunciamiento",1
"150","proporciones",1
"151","protección",1
"152","protege",1
"153","provisional",1
"154","que",13
"155","queso",1
"156","realidad",2
"157","rechazamos",1
"158","rechazar",2
"159","respaldó",1
"160","ricardo",1
"161","salvaguardia",1
"162","salvaguardias",1
"163","santiago",1
"164","se",1
"165","sector",4
"166","semanas",1
"167","sino",1
"168","sistema",1
"169","sna",2
"170","sobretasa",1
"171","sociedad",1
"172","solicitud",1
"173","solo",1
"174","su",5
"175","sufrido",1
"176","tanto",1
"177","tener",1
"178","tesorería",1
"179","tipo",1
"180","todas",1
"181","tomar",1
"182","tomara",1
"183","tome",1
"184","un",3
"185","una",3
"186","uno",1
"187","varios",1
"188","y",7
"189","ya",2
"190","2%",1
"191","2018",3
"192","2019",3
"193","2020",1
"194","2020larraín",1
"195","25%",1
